ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
0BF04E6A9CC2EBC0,classic_bike,53:37.6,04:49.7,Carpenter St & Huron St,13196,Clinton St & Jackson Blvd,638,41.894556,-87.653449,41.87831661,-87.64098108,member
D1C4DAF7B723C38F,classic_bike,54:22.6,04:02.8,Carpenter St & Huron St,13196,Clinton St & Jackson Blvd,638,41.894556,-87.653449,41.87831661,-87.64098108,member
B2C9BEAE16D4E748,electric_bike,03:29.7,09:18.0,Aberdeen St & Jackson Blvd,13157,Desplaines St & Kinzie St,TA1306000003,41.87772613,-87.65478743,41.88871604,-87.64444785,member
4D0DB150D657AC9F,electric_bike,42:38.0,50:52.7,Greenview Ave & Diversey Pkwy,13294,Richmond St & Diversey Ave,15645,41.93258963,-87.66593635,41.93190197,-87.70119513,member
9FE6EA86B3C7C3B3,electric_bike,26:37.5,43:16.8,Clark St & Drummond Pl,TA1307000142,Michigan Ave & Lake St,TA1305000011,41.931248,-87.644336,41.886022,-87.624398,member
ED52127A98ADECC1,classic_bike,09:58.2,15:40.1,Kingsbury St & Kinzie St,KA1503000043,Michigan Ave & Lake St,TA1305000011,41.88917683,-87.63850577,41.886022,-87.624398,member
1C5D1063D9A319D7,electric_bike,02:00.9,04:22.9,Clark St & Elm St,TA1307000039,Ritchie Ct & Banks St,KA1504000134,41.902973,-87.63128,41.906866,-87.626217,member
1CB7292AE12857B4,electric_bike,12:48.1,15:16.5,Halsted St & Roscoe St,TA1309000025,Wilton Ave & Belmont Ave,TA1307000134,41.9436315,-87.6490833,41.94023192,-87.65294373,member
FF13397612EDBB40,classic_bike,43:34.8,48:46.6,Southport Ave & Waveland Ave,13235,Lincoln Ave & Addison St,TA1309000050,41.948226,-87.6640712,41.946176,-87.673308,member
4B07F43841F6BCD9,electric_bike,20:37.5,26:20.3,Damen Ave & Clybourn Ave,13271,Damen Ave & Cortland St,13133,41.931931,-87.677856,41.915983,-87.677335,member
40B22811EDAA8BE9,electric_bike,20:37.8,25:35.6,Sangamon St & Washington Blvd,13409,Canal St & Madison St,13341,41.883165,-87.6511,41.882409,-87.639767,member
986BE92E30527404,electric_bike,39:37.5,51:09.8,Western Ave & Walton St,KA1504000103,Rush St & Superior St,15530,41.89841769,-87.68659602,41.89576475,-87.62590803,member
DEC014FFA46A46B3,classic_bike,37:16.8,41:04.4,Shore Dr & 55th St,TA1308000009,Lake Park Ave & 56th St,TA1309000063,41.795212,-87.580715,41.793242,-87.587782,member
D472BA32884D84ED,classic_bike,09:27.8,12:52.8,Woodlawn Ave & 58th St,22002,Lake Park Ave & 56th St,TA1309000063,41.789381,-87.596479,41.79161,-87.58748,member
4979B30E67E249F8,classic_bike,50:16.0,00:19.4,Calumet Ave & 18th St,13102,Delano Ct & Roosevelt Rd,KA1706005007,41.85761755,-87.61941075,41.867491,-87.63219,member
088419774BAF14FF,classic_bike,16:57.3,26:04.7,Calumet Ave & 18th St,13102,Delano Ct & Roosevelt Rd,KA1706005007,41.85761755,-87.61941075,41.867491,-87.63219,member
36C68E2E16797083,classic_bike,35:27.5,43:20.3,Calumet Ave & 18th St,13102,Delano Ct & Roosevelt Rd,KA1706005007,41.85761755,-87.61941075,41.867491,-87.63219,member
5195C6C85CE8552E,classic_bike,22:29.3,32:56.6,Clark St & Schiller St,TA1309000024,Bissell St & Armitage Ave*,chargingstx1,41.907993,-87.631501,41.91829556,-87.65218332,member
